nom,territoire,date,rs_icon,url,Latitude,Longitude
VéloRution 18/09 9h parc du chateau FLERS,Flers,Jeudi 18 septembre 2025 à 09h00,action,https://10s25.ovh/cms/?page=action&id_article=637,48.749069163990676,-0.5750857131529278
18/09 dès 6h30 Rassemblement rond-point Charles de Gaulle-route de Vaulx,Vaulx-en-Velin,Jeudi 18 septembre 2025 à 06h30,action,https://10s25.ovh/cms/?page=action&id_article=615,45.781235,4.929537
18/09 9h30 - Opération parking gratuit Hôpital HEH,Lyon,Jeudi 18 septembre 2025 à 09h30,action,https://10s25.ovh/cms/?page=action&id_article=612,45.743,4.879622
" Journée d'actions Guéret 18/09, premier RdV 9h00",Guéret,Jeudi 18 septembre 2025 à 09h00,action,https://10s25.ovh/cms/?page=action&id_article=572,46.1818,1.876993
Déambulation 18/09 8h30 Zone commerciale,L'Arbresle,Jeudi 18 septembre 2025 à 08h30,action,https://10s25.ovh/cms/?page=action&id_article=569,45.823189,4.604927
"Gare du Nord 18/09 12h AG, grève, et manif",10. Paris 10e,Jeudi 18 septembre 2025 à 12h00,action,https://10s25.ovh/cms/?page=action&id_article=547,48.879982,2.35506
"Pique nique GRENOBLE, 18/09 13h, Square Verdun",Grenoble,Jeudi 18 septembre 2025 à 13h00,cantine,https://10s25.ovh/cms/?page=action&id_article=647,45.188921,5.732181
Grand Banquet Citoyen,Tournus,Samedi 20 septembre 2025 à 19h00,cantine,https://10s25.ovh/cms/?page=action&id_article=555,46.559906,4.912772
"Formations GRENOBLE, 18/09 17h, Anneau de vitesse",Grenoble,Jeudi 18 septembre 2025 à 17h00,formation,https://10s25.ovh/cms/?page=action&id_article=649,45.184431,5.736671
"Piquet de grève LYON 8, 18/09 6h, Rue croix Barret",Lyon,Jeudi 18 septembre 2025 à 06h00,greve,https://10s25.ovh/cms/?page=action&id_article=645,45.736935,4.849141
18/09 5h30 piquet Lagny PARIS 20,20. Paris 20e,Jeudi 18 septembre 2025 à 05h30,greve,https://10s25.ovh/cms/?page=action&id_article=607,48.8491039,2.4045404
18/09 Hopital Tenon 13H30,20. Paris 20e,Jeudi 18 septembre 2025 à 13h30,greve,https://10s25.ovh/cms/?page=action&id_article=508,48.8657731,2.4009022
